id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1543,4062,4101,1,BOIS DES ILES,"4.295042, 50.873513",BASILIX,"4.298342, 50.872707",87,4.295042,50.873513,4.298342,50.872707
1544,4101,4109,1,BASILIX,"4.298342, 50.872707",CHOPIN,"4.300155, 50.875628",87,4.298342,50.872707,4.300155,50.875628000000006
1545,4109,4115,1,CHOPIN,"4.300155, 50.875628",GANSHOREN-SPORT,"4.301063, 50.877186",87,4.300155,50.875628000000006,4.301063,50.877186
1546,4115,4103,1,GANSHOREN-SPORT,"4.301063, 50.877186",HET VEROOST,"4.304293, 50.878173",87,4.301063,50.877186,4.304293,50.878173
1547,4103,4104,1,HET VEROOST,"4.304293, 50.878173",NEUBERGER,"4.306682, 50.876354",87,4.304293,50.878173,4.306682,50.876354
1548,4104,4112,1,NEUBERGER,"4.306682, 50.876354",LOWET,"4.310287, 50.874039",87,4.306682,50.876354,4.310287000000001,50.874039
1549,4105,4106,1,NEREUS,"4.313118, 50.872429",SORENSEN,"4.311557, 50.87068",87,4.313118,50.872429,4.311557,50.87068
1550,4107,4110,1,BEECKMANS,"4.310398, 50.869204",COLLEGE S.-COEUR,"4.316066, 50.868263",87,4.310398,50.869203999999996,4.316066,50.868263
1551,4110,2519,1,COLLEGE S.-COEUR,"4.316066, 50.868263",RIETHUISEN,"4.32007, 50.867271",87,4.316066,50.868263,4.320069999999999,50.867271
1552,1303,4153,2,RIETHUISEN,"4.321136, 50.867019",COLLEGE S.-COEUR,"4.315424, 50.86806",87,4.321136,50.867019,4.315424,50.86806
1553,4153,4156,2,COLLEGE S.-COEUR,"4.315424, 50.86806",BEECKMANS,"4.310688, 50.869363",87,4.315424,50.86806,4.310688,50.869363
1554,4157,4158,2,SORENSEN,"4.312039, 50.871043",NEREUS,"4.31309, 50.872601",87,4.3120389999999995,50.871043,4.31309,50.872601
1555,4163,4159,2,LOWET,"4.310166, 50.874249",NEUBERGER,"4.307227, 50.876054",87,4.310166000000001,50.874249,4.307226999999999,50.876053999999996
1556,4159,4160,2,NEUBERGER,"4.307227, 50.876054",HET VEROOST,"4.304038, 50.878261",87,4.307226999999999,50.876053999999996,4.304037999999999,50.878261
1557,4160,4168,2,HET VEROOST,"4.304038, 50.878261",GANSHOREN-SPORT,"4.300879, 50.877078",87,4.304037999999999,50.878261,4.300879,50.877078000000004
1558,4168,4169,2,GANSHOREN-SPORT,"4.300879, 50.877078",CHOPIN,"4.299862, 50.874641",87,4.300879,50.877078000000004,4.299862,50.874641
1559,4169,4162,2,CHOPIN,"4.299862, 50.874641",BASILIX,"4.29793, 50.872806",87,4.299862,50.874641,4.29793,50.872806
1560,4165,2866,2,BOIS DES ILES,"4.294419, 50.873883",GARE DE BERCHEM,"4.289982, 50.872161",87,4.294419,50.873883,4.289982,50.872161
1561,2866,4002,2,GARE DE BERCHEM,"4.289982, 50.872161",BERCHEM-SHOPPING,"4.291958, 50.869581",87,4.289982,50.872161,4.291958,50.869581
1562,4002,1099,2,BERCHEM-SHOPPING,"4.291958, 50.869581",PARC MONNET,"4.288174, 50.869995",87,4.291958,50.869581,4.288174,50.869995
1563,1099,1116,2,PARC MONNET,"4.288174, 50.869995",HUNDERENVELD,"4.281688, 50.866817",87,4.288174,50.869995,4.281688,50.866817
1564,1116,1102,2,HUNDERENVELD,"4.281688, 50.866817",SEPT ETOILES,"4.285551, 50.864585",87,4.281688,50.866817,4.285551,50.864585
1565,4598,4599,2,BROEK,"4.287581, 50.862838",MARICOLLES,"4.288077, 50.860098",87,4.287580999999999,50.862838,4.2880769999999995,50.860098
1566,4599,4600,2,MARICOLLES,"4.288077, 50.860098",CIMETIERES,"4.289959, 50.85609",87,4.2880769999999995,50.860098,4.289959,50.85609
1567,4600,4601,2,CIMETIERES,"4.289959, 50.85609",ELBERS,"4.295158, 50.855239",87,4.289959,50.85609,4.295158,50.855239000000005
1568,4601,4602,2,ELBERS,"4.295158, 50.855239",HOOGBOSCH,"4.298708, 50.85543",87,4.295158,50.855239000000005,4.298708,50.85543
1569,4602,4658,2,HOOGBOSCH,"4.298708, 50.85543",THYM,"4.302963, 50.856714",87,4.298708,50.85543,4.302963,50.856714000000004
1570,4658,4659,2,THYM,"4.302963, 50.856714",CANDRIES,"4.306249, 50.855632",87,4.302963,50.856714000000004,4.306249,50.855632
1571,4659,3238,2,CANDRIES,"4.306249, 50.855632",CONDOR,"4.307222, 50.852395",87,4.306249,50.855632,4.307222,50.852395
1572,3282,4014,2,JOSEPH BAECK,"4.316437, 50.852036",BEEKKANT,"4.323354, 50.854243",87,4.3164370000000005,50.852036,4.323354,50.854243
1573,2849,2163,1,AUDREY HEPBURN,"4.316768, 50.889678",BOULE ET BILL,"4.322644, 50.889448",88,4.316768,50.889678,4.322644,50.889448
1574,2163,1466,1,BOULE ET BILL,"4.322644, 50.889448",HOP. DES ENFANTS,"4.327875, 50.88792",88,4.322644,50.889448,4.327875,50.88792
