lineId,directionId,pointId,(avg(speed) * 3.6),count,local_time
80,9946,1728,9.335208714972007,3,2025-06-28 20:00:00
54,1780,1729,34.585665558892025,1,2025-06-28 20:00:00
64,3130,1729,14.686253669280202,3,2025-06-28 20:00:00
80,9946,1729,16.03113308592651,2,2025-06-28 20:00:00
95,4318,1729,10.997017652910232,6,2025-06-28 20:00:00
34,9978,1733,30.636776012540217,2,2025-06-28 20:00:00
71,3520,1734,10.636496882460802,3,2025-06-28 20:00:00
34,4952,1762,7.306857624493062,1,2025-06-28 20:00:00
34,4952,1764,21.08274338171755,4,2025-06-28 20:00:00
34,4952,1769,10.687092116155059,5,2025-06-28 20:00:00
80,4952,1769,10.820895110762274,3,2025-06-28 20:00:00
34,4952,1776,12.659190183283382,1,2025-06-28 20:00:00
38,1000,1776,18.702595044435732,1,2025-06-28 20:00:00
64,4952,1776,12.209984070347591,2,2025-06-28 20:00:00
71,2596,1776,15.862233314548272,3,2025-06-28 20:00:00
80,4952,1776,12.370961666865817,2,2025-06-28 20:00:00
95,1781,1776,18.00299010058354,1,2025-06-28 20:00:00
95,6432,1776,16.912769719733156,1,2025-06-28 20:00:00
34,4952,1777,17.60551959946952,3,2025-06-28 20:00:00
36,1830,1803,14.320508052811313,2,2025-06-28 20:00:00
36,1830,1804,19.78068298285126,4,2025-06-28 20:00:00
80,9946,1824,9.342715482779436,1,2025-06-28 20:00:00
36,2719,1870,24.956948432902355,2,2025-06-28 20:00:00
36,2719,1871,16.857326800624417,2,2025-06-28 20:00:00
60,1962,1880,11.246670969334511,2,2025-06-28 20:00:00
60,1962,1881,17.490195451337037,6,2025-06-28 20:00:00
60,1425,1883,22.20176924117822,2,2025-06-28 20:00:00
60,1425,1884,17.850751830184002,2,2025-06-28 20:00:00
38,4076,1906,16.21521444337449,2,2025-06-28 20:00:00
54,1780,1906,13.25347679778123,2,2025-06-28 20:00:00
95,4318,1906,17.490119985347675,5,2025-06-28 20:00:00
38,4076,1909,22.42168787302683,4,2025-06-28 20:00:00
54,1780,1909,26.38931339791088,1,2025-06-28 20:00:00
95,4318,1909,19.36303291981332,5,2025-06-28 20:00:00
38,4076,1910,8.192777046463826,4,2025-06-28 20:00:00
60,1962,1910,22.10335507044479,1,2025-06-28 20:00:00
38,1000,1980,28.78598195601254,3,2025-06-28 20:00:00
54,1780,1980,16.93014679858702,3,2025-06-28 20:00:00
60,1425,1980,18.720972278152644,1,2025-06-28 20:00:00
38,1000,1981,20.97221541807873,3,2025-06-28 20:00:00
54,1780,1981,23.222673817690755,5,2025-06-28 20:00:00
71,2596,1981,7.234427759459982,1,2025-06-28 20:00:00
95,1781,1981,20.703533874014376,5,2025-06-28 20:00:00
95,6432,1981,15.425526680122276,4,2025-06-28 20:00:00
34,4952,1983,17.034926440200255,3,2025-06-28 20:00:00
38,1000,1983,5.7469512170831765,2,2025-06-28 20:00:00
54,1780,1983,19.3034520015594,2,2025-06-28 20:00:00
71,2596,1983,22.739816929783913,1,2025-06-28 20:00:00
80,4952,1983,10.871178416928702,1,2025-06-28 20:00:00
95,1781,1983,12.625294878534556,3,2025-06-28 20:00:00
95,6432,1983,17.37930726618833,2,2025-06-28 20:00:00
54,1780,2967,16.45398842832814,3,2025-06-28 20:00:00
59,3125,3120,19.85481497831956,3,2025-06-28 20:00:00
59,3130,3155,25.788295959853237,2,2025-06-28 20:00:00
59,3130,3156,18.658415134288976,3,2025-06-28 20:00:00
71,3520,3514,21.380711062100904,8,2025-06-28 20:00:00
95,1781,3514,12.053736046953112,5,2025-06-28 20:00:00
71,3520,3518,5.081513636963745,2,2025-06-28 20:00:00
71,2596,3525,18.00307491473269,12,2025-06-28 20:00:00
71,2596,3558,19.233122500623686,11,2025-06-28 20:00:00
95,4318,3558,24.69092755483007,17,2025-06-28 20:00:00
71,2596,3559,10.576373848243602,3,2025-06-28 20:00:00
80,4952,3912,17.890908745822067,7,2025-06-28 20:00:00
59,3125,3921,19.009823500662957,3,2025-06-28 20:00:00
60,1962,3921,13.56406965797466,4,2025-06-28 20:00:00
80,4952,3921,15.682858865345649,8,2025-06-28 20:00:00
95,4318,4303,17.979035867909964,6,2025-06-28 20:00:00
71,3520,4304,20.808755997395814,7,2025-06-28 20:00:00
95,4318,4304,17.829306087650192,4,2025-06-28 20:00:00
71,3520,4305,19.144732237412114,5,2025-06-28 20:00:00
95,4318,4305,23.565343914693443,2,2025-06-28 20:00:00
95,4318,4306,19.599784101623634,8,2025-06-28 20:00:00
95,4318,4307,9.213034135589325,6,2025-06-28 20:00:00
95,1781,4362,27.240077209147092,6,2025-06-28 20:00:00
95,1781,4363,17.260182127580965,4,2025-06-28 20:00:00
95,6432,4364,23.784698762899,4,2025-06-28 20:00:00
95,1781,4364,24.509492575882287,7,2025-06-28 20:00:00
95,6432,4365,10.700220815166702,2,2025-06-28 20:00:00
95,1781,4365,7.243137080423883,5,2025-06-28 20:00:00
95,6432,4366,17.844801925569204,5,2025-06-28 20:00:00
95,1781,4366,22.842719603140853,7,2025-06-28 20:00:00
34,4952,4367,13.771163030332199,6,2025-06-28 20:00:00
38,1000,4367,16.459669328327198,3,2025-06-28 20:00:00
71,2596,4367,13.863441214495802,5,2025-06-28 20:00:00
80,4952,4367,18.357939577890654,2,2025-06-28 20:00:00
95,1781,4367,14.97193950098152,8,2025-06-28 20:00:00
95,6432,4367,11.170128367938299,5,2025-06-28 20:00:00
71,3520,5407,17.38520354073549,9,2025-06-28 20:00:00
38,1000,6112,10.070008861576092,4,2025-06-28 20:00:00
54,1780,6112,23.67530535111348,1,2025-06-28 20:00:00
60,1425,6112,32.233064247927075,1,2025-06-28 20:00:00
34,4952,6432,13.753455383029968,5,2025-06-28 20:00:00
38,1000,6432,8.924997187652115,3,2025-06-28 20:00:00
64,4952,6432,11.655010630093702,10,2025-06-28 20:00:00
71,2596,6432,0.8014792821340755,2,2025-06-28 20:00:00
80,4952,6432,13.39978300323515,4,2025-06-28 20:00:00
95,1781,6432,6.66331878341579,5,2025-06-28 20:00:00
64,3130,6433,6.785245780648479,1,2025-06-28 20:00:00
80,9946,6433,8.546820849732052,1,2025-06-28 20:00:00
95,4318,6433,12.315149433480816,1,2025-06-28 20:00:00
64,4952,1162,15.09589750732558,3,2025-06-28 20:15:00
34,9978,1233,15.968291084482248,5,2025-06-28 20:15:00
38,4076,1233,18.730898664977083,7,2025-06-28 20:15:00
54,1780,1233,7.8338709629626875,2,2025-06-28 20:15:00
80,9946,1233,19.650054694816617,4,2025-06-28 20:15:00
95,4318,1233,13.08037132159904,7,2025-06-28 20:15:00
34,4952,1278,26.217914634921218,3,2025-06-28 20:15:00
59,3130,1280,18.113787438552105,1,2025-06-28 20:15:00
34,9978,1706,17.319109047895374,1,2025-06-28 20:15:00
80,9946,1706,13.088257387230911,2,2025-06-28 20:15:00
34,9978,1712,16.900226662474463,2,2025-06-28 20:15:00
34,9978,1713,4.810807257998299,3,2025-06-28 20:15:00
34,9978,1728,20.30052091809403,1,2025-06-28 20:15:00
80,9946,1728,14.698324157225201,2,2025-06-28 20:15:00
34,9978,1729,16.221540275556464,2,2025-06-28 20:15:00
38,4076,1729,13.091298284074762,2,2025-06-28 20:15:00
54,1780,1729,14.791773120734435,1,2025-06-28 20:15:00
64,3134,1729,17.45872040495766,2,2025-06-28 20:15:00
95,4318,1729,14.97903116705391,4,2025-06-28 20:15:00
34,9978,1733,17.696332589463417,4,2025-06-28 20:15:00
34,4952,1762,13.35476228597324,1,2025-06-28 20:15:00
34,4952,1764,22.273545685898828,4,2025-06-28 20:15:00
34,4952,1769,10.18506694114287,5,2025-06-28 20:15:00
80,4952,1769,14.002975981687648,3,2025-06-28 20:15:00
38,1000,1776,15.259936253772024,3,2025-06-28 20:15:00
71,2596,1776,16.64975968564736,2,2025-06-28 20:15:00
80,4952,1776,5.113065733802177,3,2025-06-28 20:15:00
95,1781,1776,11.082084724165965,4,2025-06-28 20:15:00
34,4952,1777,22.15808166155337,2,2025-06-28 20:15:00
36,1830,1803,6.870315273608877,3,2025-06-28 20:15:00
36,1830,1804,18.53770400593818,4,2025-06-28 20:15:00
80,9946,1824,6.767778999425763,2,2025-06-28 20:15:00
36,2719,1870,18.838757926797708,3,2025-06-28 20:15:00
36,2719,1871,12.666289718874209,2,2025-06-28 20:15:00
60,1962,1880,9.80205499495525,3,2025-06-28 20:15:00
60,1962,1881,33.93088936744911,6,2025-06-28 20:15:00
60,1425,1883,20.32050548325039,2,2025-06-28 20:15:00
38,4076,1906,18.37430870012777,3,2025-06-28 20:15:00
95,4318,1906,10.69767777185222,2,2025-06-28 20:15:00
38,4076,1909,24.413485371432987,4,2025-06-28 20:15:00
54,1780,1909,11.720685989651363,1,2025-06-28 20:15:00
95,4318,1909,16.49401933231769,3,2025-06-28 20:15:00
38,4076,1910,13.445602806278155,1,2025-06-28 20:15:00
60,1962,1910,7.988127268637805,7,2025-06-28 20:15:00
38,1000,1980,35.560081106077746,1,2025-06-28 20:15:00
60,1425,1980,32.94776206531216,1,2025-06-28 20:15:00
38,1000,1981,26.472940793796386,3,2025-06-28 20:15:00
71,2596,1981,19.77168485198274,7,2025-06-28 20:15:00
95,1781,1981,15.835607787345442,7,2025-06-28 20:15:00
34,4952,1983,11.031324431070153,2,2025-06-28 20:15:00
38,1000,1983,16.419461992242958,4,2025-06-28 20:15:00
54,1780,1983,9.423710004982022,1,2025-06-28 20:15:00
71,2596,1983,19.238257646944795,4,2025-06-28 20:15:00
95,1781,1983,21.401688656717987,3,2025-06-28 20:15:00
54,1780,2967,20.95516586028577,1,2025-06-28 20:15:00
59,3125,3120,14.584871496685745,4,2025-06-28 20:15:00
59,3125,3121,13.828335386038338,11,2025-06-28 20:15:00
59,3130,3155,19.243340816732356,3,2025-06-28 20:15:00
59,3130,3156,19.66707616142784,3,2025-06-28 20:15:00
59,3125,3372,10.524512906908189,5,2025-06-28 20:15:00
71,3520,3514,24.886362809808933,4,2025-06-28 20:15:00
95,1781,3514,7.5425772414881935,3,2025-06-28 20:15:00
71,2596,3525,24.297400166103102,6,2025-06-28 20:15:00
71,2596,3558,22.413776870613237,7,2025-06-28 20:15:00
95,4318,3558,27.39892424171429,16,2025-06-28 20:15:00
71,2596,3559,17.468539299361055,1,2025-06-28 20:15:00
59,3125,3921,18.68602375717218,4,2025-06-28 20:15:00
60,1962,3921,15.190273162449504,4,2025-06-28 20:15:00
95,4318,4303,16.03152581828915,2,2025-06-28 20:15:00
71,3520,4304,17.17226331182106,4,2025-06-28 20:15:00
95,4318,4304,30.507098375416827,4,2025-06-28 20:15:00
71,3520,4305,19.692843866988053,5,2025-06-28 20:15:00
95,4318,4305,29.558380402817168,3,2025-06-28 20:15:00
95,4318,4306,19.380769356530035,5,2025-06-28 20:15:00
95,4318,4307,15.211806553576432,3,2025-06-28 20:15:00
95,1781,4362,24.178238171948948,5,2025-06-28 20:15:00
95,1781,4363,19.84976694969885,3,2025-06-28 20:15:00
95,1781,4364,25.741528361690374,5,2025-06-28 20:15:00
95,1781,4365,7.569033280980353,4,2025-06-28 20:15:00
95,1781,4366,23.991787171013886,6,2025-06-28 20:15:00
34,4952,4367,13.1331909493708,3,2025-06-28 20:15:00
38,1000,4367,16.38976428914082,5,2025-06-28 20:15:00
71,2596,4367,21.860691796238818,6,2025-06-28 20:15:00
80,4952,4367,22.716846018255577,2,2025-06-28 20:15:00
95,1781,4367,11.38363484591156,9,2025-06-28 20:15:00
71,3520,5407,26.350028279824148,6,2025-06-28 20:15:00
38,1000,6112,10.587873870100417,2,2025-06-28 20:15:00
60,1425,6112,11.22199757752714,2,2025-06-28 20:15:00
34,4952,6432,32.03454660738169,2,2025-06-28 20:15:00
38,1000,6432,4.547735982467975,2,2025-06-28 20:15:00
64,4952,6432,16.35164156010036,3,2025-06-28 20:15:00
71,2596,6432,11.271230438221062,9,2025-06-28 20:15:00
80,4952,6432,11.577251545586918,4,2025-06-28 20:15:00
95,1781,6432,6.420485308838917,3,2025-06-28 20:15:00
38,4076,6433,15.704770928961986,1,2025-06-28 20:15:00
54,1780,6433,6.046452762532385,1,2025-06-28 20:15:00
64,3134,6433,14.267964965606524,1,2025-06-28 20:15:00
80,9946,6433,10.145077824591201,2,2025-06-28 20:15:00
95,4318,6433,7.247986472331933,3,2025-06-28 20:15:00
34,9978,1233,9.84553834412387,8,2025-06-28 20:30:00
38,4076,1233,11.871944343490973,5,2025-06-28 20:30:00
54,1780,1233,12.994741134226805,7,2025-06-28 20:30:00
95,4318,1233,13.618502741463047,10,2025-06-28 20:30:00
34,4952,1278,17.30932347414179,6,2025-06-28 20:30:00
59,3130,1280,13.954767361751934,3,2025-06-28 20:30:00
64,3134,1654,15.417712169348937,3,2025-06-28 20:30:00
34,9978,1706,19.69617266089403,2,2025-06-28 20:30:00
34,9978,1712,16.31551509556562,2,2025-06-28 20:30:00
34,9978,1713,24.241388700152957,4,2025-06-28 20:30:00
34,9978,1714,13.138831225312963,4,2025-06-28 20:30:00
34,9978,1715,7.962304261994274,3,2025-06-28 20:30:00
